customer_id,tenure_months,contract_type,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,support_calls_3mo,avg_data_gb_3mo,late_payments_6mo,plan_changes_6mo,churned
CUST50030,72,Month-to-month,54.71,3890.61,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,No,No,Yes,Yes,0,7.57,1,0,0
CUST50031,69,Two year,38.58,2610.38,No internet service,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,No,Yes,Yes,0,0.0,1,0,0
CUST50032,11,Month-to-month,86.45,997.79,Fiber optic,Yes,Yes,No,Mailed check,Yes,0,No,No,Yes,Yes,0,31.39,0,0,0
CUST50033,1,Month-to-month,61.25,0.0,DSL,No,No,No,Electronic check,No,1,No,Yes,Yes,No,1,54.32,0,0,0
CUST50034,21,Month-to-month,49.34,1010.33,DSL,No,No,No,Electronic check,Yes,1,Yes,No,Yes,Yes,0,41.88,0,0,1
CUST50035,8,Month-to-month,85.73,719.02,DSL,Yes,No,Yes,Mailed check,Yes,0,No,No,Yes,No,1,2.59,0,0,0
CUST50036,18,Month-to-month,46.01,903.89,DSL,No,No,Yes,Credit card (auto),Yes,0,Yes,Yes,Yes,Yes,0,63.32,0,1,0
CUST50037,16,Month-to-month,49.62,819.29,DSL,No,No,Yes,Electronic check,Yes,0,Yes,No,Yes,No,1,8.66,1,0,0
CUST50038,19,One year,80.14,1546.06,Fiber optic,No,Yes,No,Electronic check,Yes,0,No,No,Yes,Yes,2,36.47,1,1,0
CUST50039,52,Month-to-month,76.4,3980.51,Fiber optic,Yes,Yes,Yes,Mailed check,No,0,No,Yes,Yes,No,2,41.29,0,0,0
CUST50040,26,One year,79.57,2134.12,DSL,Yes,No,No,Electronic check,Yes,0,No,Yes,Yes,No,2,97.53,0,0,1
CUST50041,17,One year,84.31,1498.38,DSL,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,No,0,10.65,0,0,0
CUST50042,45,Two year,102.21,4621.4,Fiber optic,No,No,No,Mailed check,Yes,0,No,No,Yes,No,2,52.1,0,0,0
CUST50043,33,Two year,76.52,2534.0,Fiber optic,No,No,Yes,Electronic check,No,1,Yes,Yes,Yes,No,2,25.69,0,0,0
CUST50044,39,Two year,77.31,2966.55,DSL,No,No,Yes,Bank transfer (auto),Yes,0,No,Yes,Yes,No,0,76.6,1,0,0
CUST50045,12,One year,66.75,761.82,DSL,Yes,Yes,No,Credit card (auto),Yes,0,Yes,No,Yes,No,1,16.4,0,0,1
CUST50046,6,Month-to-month,37.2,127.29,No internet service,No internet service,No internet service,No internet service,Credit card (auto),No,0,No,Yes,Yes,Yes,2,0.0,0,0,0
CUST50047,56,One year,102.59,5735.08,Fiber optic,Yes,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,No,3,6.23,0,0,0
CUST50048,51,Two year,49.73,2480.03,No internet service,No internet service,No internet service,No internet service,Electronic check,No,0,Yes,No,Yes,Yes,3,0.0,0,1,0
CUST50049,23,Month-to-month,64.94,1453.37,No internet service,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,Yes,Yes,No,0,0.0,1,0,1
CUST50050,4,Month-to-month,72.65,350.16,Fiber optic,No,No,No,Bank transfer (auto),Yes,1,No,No,Yes,No,0,10.41,1,0,1
CUST50051,11,Month-to-month,56.17,661.4,DSL,Yes,Yes,No,Mailed check,Yes,0,No,No,Yes,Yes,3,70.06,0,0,0
CUST50052,12,One year,68.79,793.89,DSL,No,No,Yes,Bank transfer (auto),Yes,1,No,No,Yes,No,0,1.61,0,0,0
CUST50053,15,Month-to-month,69.13,1017.03,DSL,Yes,Yes,No,Credit card (auto),No,1,No,No,No,No phone service,0,50.7,0,0,0
CUST50054,8,One year,60.13,592.2,DSL,No,No,No,Electronic check,Yes,0,No,Yes,Yes,No,0,19.05,0,0,1
CUST50055,7,Month-to-month,51.88,321.0,DSL,No,No,Yes,Electronic check,Yes,1,Yes,No,Yes,No,0,104.83,0,0,0
CUST50056,42,Two year,109.84,4648.32,Fiber optic,Yes,No,No,Mailed check,Yes,0,No,No,No,No phone service,2,9.04,1,2,0
CUST50057,63,One year,66.92,4293.27,Fiber optic,No,Yes,No,Bank transfer (auto),Yes,0,Yes,No,Yes,No,1,1.64,0,0,0
CUST50058,43,Two year,86.74,3741.44,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,No,No,No,No phone service,3,22.83,0,0,1
CUST50059,22,Month-to-month,35.43,799.95,DSL,No,Yes,No,Bank transfer (auto),No,0,No,No,Yes,Yes,1,38.9,0,0,1
CUST50060,7,Month-to-month,80.94,481.69,Fiber optic,No,Yes,No,Mailed check,No,0,No,No,Yes,No,1,19.46,0,0,0
CUST50061,2,Month-to-month,34.26,48.18,No internet service,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,Yes,1,0.0,1,0,0
CUST50062,14,Month-to-month,113.43,1597.14,Fiber optic,No,No,No,Electronic check,Yes,0,No,No,Yes,No,3,7.33,0,1,0
CUST50063,4,Month-to-month,76.65,378.76,Fiber optic,No,Yes,Yes,Electronic check,Yes,0,No,No,Yes,No,1,20.79,0,0,1
CUST50064,5,One year,36.46,154.84,No internet service,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,No,Yes,Yes,1,0.0,0,1,1
CUST50065,22,One year,82.01,1811.63,Fiber optic,No,Yes,No,Credit card (auto),Yes,0,No,No,Yes,No,1,16.56,0,0,0
CUST50066,13,One year,63.29,885.2,Fiber optic,No,No,Yes,Bank transfer (auto),Yes,0,Yes,No,Yes,No,2,40.47,0,0,0
CUST50067,13,Month-to-month,48.21,680.65,No internet service,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,No,Yes,Yes,1,0.0,1,0,0
CUST50068,16,Month-to-month,63.67,1039.16,DSL,Yes,Yes,No,Mailed check,Yes,0,Yes,No,No,No phone service,1,25.87,0,1,0
CUST50069,41,One year,61.58,2494.47,Fiber optic,No,No,No,Credit card (auto),Yes,1,Yes,Yes,Yes,No,1,12.18,0,0,0
CUST50070,5,Month-to-month,120.0,626.78,Fiber optic,Yes,No,No,Mailed check,Yes,0,Yes,No,Yes,Yes,0,29.19,0,1,0
CUST50071,33,Month-to-month,43.12,1430.58,No internet service,No internet service,No internet service,No internet service,Electronic check,No,0,Yes,Yes,Yes,Yes,1,0.0,0,0,0
CUST50072,55,Month-to-month,56.45,3044.38,DSL,No,Yes,Yes,Mailed check,Yes,0,No,No,Yes,No,0,53.51,0,1,0
CUST50073,12,Month-to-month,78.99,937.55,Fiber optic,No,No,Yes,Mailed check,Yes,0,Yes,No,Yes,No,0,9.25,0,1,1
CUST50074,25,Month-to-month,50.44,1288.63,No internet service,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,No,Yes,Yes,Yes,1,0.0,0,0,0
CUST50075,13,Month-to-month,117.1,1597.94,Fiber optic,Yes,No,No,Electronic check,No,0,Yes,No,Yes,Yes,0,7.77,0,1,1
CUST50076,1,Month-to-month,20.0,0.0,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,Yes,Yes,2,0.0,1,0,1
CUST50077,54,One year,90.29,4918.63,Fiber optic,Yes,No,Yes,Mailed check,Yes,0,No,Yes,Yes,No,0,28.21,1,0,0
CUST50078,1,Month-to-month,75.86,46.11,DSL,No,No,Yes,Electronic check,Yes,0,No,No,Yes,Yes,2,24.99,0,0,1
CUST50079,72,Month-to-month,100.36,7223.07,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,No,No,Yes,No,2,4.12,0,0,0
CUST50080,72,Two year,77.92,5590.16,Fiber optic,No,No,No,Bank transfer (auto),No,1,Yes,Yes,Yes,Yes,1,107.12,0,0,0
CUST50081,32,One year,46.36,1580.38,Fiber optic,Yes,Yes,No,Mailed check,Yes,0,No,No,Yes,No,2,1.01,0,0,1
CUST50082,6,Month-to-month,64.37,418.65,Fiber optic,Yes,Yes,Yes,Mailed check,No,0,Yes,No,Yes,No,0,36.32,0,0,1
CUST50083,72,Two year,105.84,7660.65,Fiber optic,No,No,No,Mailed check,Yes,0,No,Yes,Yes,Yes,1,2.63,0,0,0
CUST50084,4,Month-to-month,70.6,247.25,Fiber optic,No,No,No,Credit card (auto),Yes,0,No,Yes,Yes,Yes,1,3.13,0,0,1
CUST50085,27,Month-to-month,26.8,750.16,No internet service,No internet service,No internet service,No internet service,Electronic check,No,0,Yes,No,Yes,Yes,0,0.0,0,0,0
CUST50086,48,Two year,92.43,4376.96,Fiber optic,Yes,No,No,Electronic check,No,0,No,No,Yes,No,2,21.6,0,0,1
CUST50087,72,Two year,69.33,4865.04,DSL,No,No,Yes,Mailed check,No,0,No,Yes,No,No phone service,2,11.98,0,0,0
CUST50088,33,Month-to-month,28.0,901.53,DSL,Yes,No,No,Credit card (auto),Yes,1,Yes,Yes,Yes,No,0,35.21,0,0,0
CUST50089,24,One year,84.25,2089.83,DSL,Yes,Yes,Yes,Mailed check,No,0,Yes,No,Yes,No,1,56.49,0,0,0
CUST50090,56,One year,39.82,2209.41,DSL,Yes,No,No,Credit card (auto),No,0,Yes,No,Yes,Yes,2,17.15,0,0,0
CUST50091,4,Month-to-month,37.35,182.71,DSL,Yes,No,Yes,Credit card (auto),Yes,0,No,No,Yes,No,1,11.22,1,0,1
CUST50092,35,Month-to-month,48.03,1812.4,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,Yes,Yes,1,0.0,0,1,0
CUST50093,2,Month-to-month,49.11,93.87,DSL,No,Yes,Yes,Bank transfer (auto),Yes,0,Yes,No,Yes,No,2,30.61,0,0,1
CUST50094,57,Two year,62.55,3653.97,No internet service,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,Yes,No,No,No phone service,1,0.0,0,1,0
CUST50095,14,Month-to-month,58.16,708.88,DSL,No,No,No,Bank transfer (auto),Yes,0,No,No,Yes,No,3,20.74,0,0,0
CUST50096,20,One year,72.53,1421.31,DSL,No,Yes,No,Bank transfer (auto),No,0,No,No,Yes,No,2,1.67,0,0,0
CUST50097,4,Month-to-month,82.97,356.63,DSL,No,Yes,Yes,Credit card (auto),Yes,0,Yes,No,Yes,No,0,5.38,1,0,0
CUST50098,15,Month-to-month,72.12,1075.1,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,Yes,No,No,No phone service,2,8.04,0,0,1
CUST50099,59,One year,81.97,4864.13,Fiber optic,No,No,No,Mailed check,Yes,0,No,No,Yes,No,0,8.44,0,0,0
CUST50100,10,One year,106.88,1019.47,Fiber optic,No,No,Yes,Electronic check,No,0,Yes,No,Yes,No,5,1.72,0,1,1
CUST50101,13,Month-to-month,74.72,1074.36,Fiber optic,Yes,No,Yes,Bank transfer (auto),No,0,Yes,No,No,No phone service,4,99.29,0,0,1
CUST50102,8,Month-to-month,52.57,497.6,DSL,No,No,No,Electronic check,Yes,0,No,Yes,Yes,No,0,19.06,1,0,1
CUST50103,20,One year,62.99,1293.86,Fiber optic,No,Yes,No,Electronic check,No,0,No,No,Yes,No,1,176.47,1,0,1
CUST50104,1,Month-to-month,65.62,15.41,DSL,No,Yes,No,Bank transfer (auto),Yes,1,Yes,No,Yes,Yes,4,11.8,0,0,1
CUST50105,17,Month-to-month,65.3,1111.03,No internet service,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,Yes,Yes,No,4,0.0,0,0,0
CUST50106,18,One year,64.89,1220.94,Fiber optic,No,Yes,No,Bank transfer (auto),No,0,Yes,No,Yes,No,0,27.83,0,0,0
CUST50107,9,Month-to-month,69.06,592.59,Fiber optic,Yes,No,No,Mailed check,No,0,Yes,Yes,Yes,No,2,5.13,1,0,1
CUST50108,4,Month-to-month,98.38,469.83,Fiber optic,No,Yes,Yes,Credit card (auto),No,0,No,No,Yes,Yes,1,86.37,0,1,0
CUST50109,1,Month-to-month,59.28,79.86,No internet service,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,Yes,Yes,Yes,0,0.0,0,1,1
CUST50110,42,Two year,51.37,2149.88,No internet service,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,No,Yes,No,6,0.0,0,0,0
CUST50111,7,Month-to-month,52.99,419.41,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,Yes,No,1,0.0,1,0,0
CUST50112,37,One year,105.7,3870.64,Fiber optic,No,No,Yes,Mailed check,No,1,Yes,Yes,Yes,No,0,32.44,0,0,1
CUST50113,53,Month-to-month,98.12,5185.12,Fiber optic,No,No,No,Electronic check,Yes,0,Yes,No,Yes,Yes,1,12.46,0,0,1
CUST50114,14,Month-to-month,63.55,862.16,No internet service,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,No,Yes,Yes,No,2,0.0,0,0,0
CUST50115,9,Month-to-month,118.55,986.42,Fiber optic,Yes,Yes,Yes,Bank transfer (auto),Yes,1,No,No,Yes,No,2,17.99,1,0,1
CUST50116,5,Month-to-month,111.49,453.44,Fiber optic,No,No,No,Electronic check,Yes,0,No,No,Yes,No,2,4.77,0,0,1
CUST50117,22,One year,86.25,1852.87,Fiber optic,Yes,Yes,Yes,Mailed check,No,0,Yes,Yes,Yes,Yes,1,42.59,0,0,0
CUST50118,20,Month-to-month,46.06,884.73,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,1,No,No,Yes,No,3,0.0,1,0,0
CUST50119,36,One year,98.02,3561.64,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,No,Yes,Yes,Yes,0,2.87,0,0,1
CUST50120,9,Month-to-month,49.72,429.29,No internet service,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,No,No,Yes,No,2,0.0,0,1,0
CUST50121,33,Month-to-month,117.01,3893.22,Fiber optic,No,Yes,Yes,Credit card (auto),No,1,Yes,No,Yes,No,1,84.88,0,0,1
CUST50122,22,Month-to-month,50.25,1024.28,DSL,No,No,No,Electronic check,Yes,0,No,No,Yes,Yes,2,13.13,0,0,0
CUST50123,37,One year,108.96,4048.22,Fiber optic,No,No,No,Electronic check,Yes,0,No,No,Yes,Yes,4,32.35,0,2,0
CUST50124,58,Two year,97.61,5588.36,Fiber optic,No,Yes,No,Credit card (auto),No,0,Yes,No,Yes,No,0,45.27,1,0,0
CUST50125,72,Two year,36.49,2602.72,DSL,No,No,Yes,Mailed check,Yes,0,No,No,Yes,Yes,2,39.54,0,0,0
CUST50126,1,Month-to-month,78.3,126.27,Fiber optic,No,No,Yes,Mailed check,Yes,0,Yes,No,Yes,No,0,25.98,0,0,1
CUST50127,23,One year,81.39,1855.28,DSL,No,No,Yes,Credit card (auto),No,1,Yes,Yes,No,No phone service,0,4.19,0,0,0
CUST50128,2,Month-to-month,34.92,16.79,No internet service,No internet service,No internet service,No internet service,Electronic check,No,0,Yes,No,Yes,No,1,0.0,1,1,1
CUST50129,54,One year,78.48,4300.41,Fiber optic,Yes,No,No,Electronic check,Yes,0,No,Yes,Yes,No,1,46.15,0,0,1
CUST50130,58,Two year,34.84,2065.54,Fiber optic,No,No,No,Bank transfer (auto),No,0,Yes,Yes,Yes,Yes,1,106.84,0,0,0
CUST50131,7,Month-to-month,49.52,419.36,DSL,Yes,No,No,Electronic check,Yes,0,Yes,No,Yes,No,1,22.03,0,0,1
CUST50132,11,Month-to-month,54.39,536.07,No internet service,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,No,Yes,Yes,0,0.0,1,0,1
CUST50133,40,One year,91.89,3586.3,DSL,No,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,Yes,0,73.34,0,0,0
CUST50134,30,One year,69.93,2173.44,DSL,No,No,No,Electronic check,Yes,1,No,No,Yes,No,0,8.1,0,0,1
CUST50135,3,Month-to-month,74.78,159.57,DSL,Yes,No,No,Electronic check,No,0,No,No,Yes,No,2,2.62,0,0,1
CUST50136,51,Two year,84.71,4319.81,Fiber optic,No,No,No,Bank transfer (auto),No,0,No,No,No,No phone service,2,0.86,0,1,0
CUST50137,35,One year,120.0,4194.12,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,No,Yes,Yes,Yes,3,0.61,0,0,1
CUST50138,2,Month-to-month,84.63,136.22,DSL,No,Yes,No,Bank transfer (auto),Yes,0,No,No,Yes,Yes,1,8.21,0,1,0
CUST50139,1,Month-to-month,36.05,0.0,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,1,Yes,No,Yes,Yes,1,0.0,0,1,1
CUST50140,40,One year,109.9,4377.77,Fiber optic,No,No,Yes,Mailed check,Yes,1,No,No,Yes,Yes,1,73.17,0,0,1
CUST50141,10,Month-to-month,73.75,783.85,DSL,Yes,No,Yes,Electronic check,Yes,0,Yes,No,No,No phone service,3,13.32,1,0,1
CUST50142,10,Month-to-month,73.87,710.05,Fiber optic,Yes,Yes,Yes,Credit card (auto),Yes,0,No,No,Yes,No,2,1.42,0,0,1
CUST50143,13,One year,81.36,996.15,DSL,No,No,No,Bank transfer (auto),Yes,0,Yes,No,Yes,No,2,47.1,1,1,0
CUST50144,39,One year,41.12,1608.11,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,Yes,Yes,2,0.0,0,0,0
CUST50145,5,One year,66.06,229.38,DSL,Yes,No,No,Electronic check,Yes,0,No,No,Yes,Yes,1,6.29,0,1,1
CUST50146,44,Month-to-month,61.73,2731.1,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,No,No,Yes,Yes,3,17.67,1,1,0
CUST50147,42,One year,54.22,2307.75,DSL,No,No,No,Electronic check,Yes,0,Yes,Yes,Yes,No,3,13.07,1,0,0
CUST50148,33,Two year,36.54,1182.84,DSL,No,No,No,Credit card (auto),No,0,Yes,Yes,Yes,Yes,1,44.9,0,0,0
CUST50149,59,Month-to-month,55.21,3297.85,DSL,No,No,No,Credit card (auto),Yes,0,No,Yes,Yes,Yes,1,26.66,0,0,0
CUST50150,11,One year,54.17,591.92,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,1,No,No,Yes,Yes,3,0.0,0,0,1
CUST50151,44,Two year,69.47,3043.23,Fiber optic,No,No,No,Mailed check,No,0,Yes,No,Yes,No,1,46.55,0,2,0
CUST50152,48,One year,68.87,3254.13,DSL,Yes,No,Yes,Bank transfer (auto),Yes,0,No,No,Yes,No,4,26.05,1,0,0
CUST50153,21,One year,65.09,1414.59,DSL,Yes,No,Yes,Mailed check,No,0,No,Yes,Yes,Yes,1,53.38,0,0,0
CUST50154,11,Month-to-month,119.6,1291.76,Fiber optic,No,No,No,Electronic check,Yes,1,Yes,No,Yes,Yes,0,63.59,1,0,1
CUST50155,2,Month-to-month,35.33,57.57,No internet service,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,No,No,Yes,Yes,2,0.0,0,0,1
CUST50156,35,One year,29.59,1069.34,DSL,No,No,No,Electronic check,No,0,No,No,Yes,Yes,0,5.21,0,1,0
CUST50157,24,One year,88.74,2087.54,DSL,No,Yes,Yes,Electronic check,No,0,Yes,No,Yes,No,3,69.12,0,0,0
CUST50158,60,Two year,50.64,3000.46,No internet service,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,No,Yes,No,0,0.0,0,0,0
CUST50159,2,Month-to-month,73.59,147.86,Fiber optic,No,No,No,Mailed check,Yes,0,No,Yes,Yes,Yes,1,5.85,2,0,1
CUST50160,12,Month-to-month,69.71,756.33,DSL,Yes,No,No,Electronic check,No,0,No,Yes,Yes,Yes,3,54.63,1,0,1
CUST50161,29,Month-to-month,64.64,1893.27,DSL,No,No,No,Credit card (auto),No,0,Yes,Yes,No,No phone service,3,49.64,0,1,1
CUST50162,23,One year,52.02,1194.83,No internet service,No internet service,No internet service,No internet service,Electronic check,No,0,No,No,Yes,No,2,0.0,2,1,1
CUST50163,5,Month-to-month,48.19,157.53,DSL,Yes,No,Yes,Credit card (auto),No,0,No,Yes,No,No phone service,2,5.76,3,0,1
CUST50164,20,One year,74.2,1376.09,DSL,No,No,No,Electronic check,No,0,No,No,Yes,No,1,7.27,1,0,1
CUST50165,2,Month-to-month,73.84,120.16,Fiber optic,Yes,No,Yes,Electronic check,Yes,0,Yes,No,Yes,No,0,109.53,0,0,1
CUST50166,17,Month-to-month,32.25,528.03,No internet service,No internet service,No internet service,No internet service,Electronic check,No,0,No,No,Yes,No,2,0.0,0,0,1
CUST50167,55,Month-to-month,51.17,2876.83,DSL,Yes,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,No,2,13.75,0,0,0
CUST50168,58,Two year,64.52,3847.35,DSL,No,No,Yes,Bank transfer (auto),Yes,0,Yes,Yes,Yes,Yes,2,30.14,1,0,0
CUST50169,46,One year,74.95,3405.34,Fiber optic,No,No,No,Credit card (auto),No,0,Yes,No,Yes,Yes,3,44.62,0,0,0
CUST50170,59,Two year,75.41,4406.52,DSL,No,No,Yes,Credit card (auto),No,0,No,No,Yes,No,1,34.27,0,0,0
CUST50171,8,One year,85.82,757.99,Fiber optic,No,No,Yes,Electronic check,No,0,No,Yes,Yes,Yes,1,13.35,0,0,0
CUST50172,53,Month-to-month,37.6,2011.6,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,No,Yes,No,2,0.0,0,0,0
CUST50173,72,Month-to-month,41.69,3179.11,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,Yes,No,2,0.0,0,0,0
CUST50174,49,Two year,100.92,4934.35,Fiber optic,No,No,Yes,Bank transfer (auto),No,0,Yes,No,No,No phone service,3,16.57,0,0,0
CUST50175,52,One year,64.61,3408.95,DSL,No,No,No,Electronic check,Yes,0,Yes,No,Yes,Yes,1,3.69,0,1,0
CUST50176,33,Month-to-month,57.39,2011.72,DSL,No,Yes,Yes,Electronic check,No,0,No,No,Yes,No,1,111.54,1,1,0
CUST50177,1,One year,54.65,0.0,No internet service,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,No,No,Yes,No,2,0.0,0,0,1
CUST50178,3,Month-to-month,68.27,156.67,DSL,No,No,No,Electronic check,No,1,Yes,Yes,Yes,Yes,0,29.94,1,0,1
CUST50179,1,Month-to-month,20.06,41.07,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,Yes,No,No phone service,0,0.0,0,0,1
CUST50180,9,Month-to-month,61.07,547.29,Fiber optic,Yes,No,No,Electronic check,Yes,0,Yes,Yes,Yes,No,1,51.85,1,1,1
CUST50181,55,Two year,120.0,6607.83,Fiber optic,No,No,Yes,Mailed check,Yes,0,Yes,No,Yes,Yes,1,8.18,0,0,0
CUST50182,41,Month-to-month,54.0,2175.83,DSL,No,Yes,Yes,Electronic check,Yes,1,No,No,Yes,Yes,2,1.41,0,0,0
CUST50183,2,Month-to-month,66.11,130.61,DSL,No,Yes,No,Bank transfer (auto),No,1,No,No,Yes,No,2,14.51,0,0,1
CUST50184,4,Month-to-month,110.02,421.8,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,Yes,No,Yes,No,1,35.6,0,1,1
CUST50185,9,Month-to-month,86.0,800.95,Fiber optic,No,No,Yes,Mailed check,Yes,0,No,No,Yes,No,3,86.61,0,1,0
